"b"				"buy"
","				"buyammo1"
"."				"buyammo2"
"m"				"chooseteam"
"c"				"holler1"
"v"				"holler2"
"g"				"drop"
"w"				"+forward"
"UPARROW"		"+forward"
"s"				"+back"
"DOWNARROW"		"+back"
"LEFTARROW"		"+left"
"RIGHTARROW"	"+right"
"a"				"+moveleft"
"d"				"+moveright"
"SPACE"			"+jump"
"CTRL"			"+duck"
"TAB"			"+showscores"
"e"				"+use"
"'"				"+moveup"
"/"				"+movedown"
"PGUP"			"+lookup"
"PGDN"			"+lookdown"
"END"			"centerview"
"ALT"			"+strafe"
"INS"			"+klook"
";"				"+mlook"
"r"				"+reload"
"SHIFT"			"+speed"
"MOUSE1"		"+attack"
"ENTER"			"+attack"
"MOUSE2"		"+attack2"
"f"				"impulse 100"
"t"				"impulse 201"
"1"				"slot1"
"2"				"slot2"
"3"				"slot3"
"4"				"slot4"
"5"				"slot5"
"6"				"slot6"
"7"				"slot7"
"8"				"slot8"
"9"				"slot9"
"0"				"slot10"
"["				"invprev"
"]"				"invnext"
"q"				"lastinv"
"F4"			"adminmenu"
"F5"			"snapshot"
"F6"			"showstats 0"
"F7"			"votemaps"
"F8"			"lockedstats"
"F9"			"topscores"
"F10"			"quit"
"PAUSE"			"pause"
"ESCAPE"		"escape"
"~"				"toggleconsole"
"`"				"toggleconsole"
"+"				"sizeup"
"="				"sizeup"
"-"				"sizedown"
"y"				"messagemode"
"u"				"messagemode2"
